Date,Timestamp,Event_Log,Event_Log_Num,resetWallCountperEpisode,resetTotalCountperEpisode,reset00CountperEpisode,reset01CountperEpisode,resetbetCountperEpisode
20260203115810.958,269.0640,,,30,31,0,1,25.7993
20260203115810.968,269.0751,,,30,31,0,1,25.7993
20260203115810.970,269.0862,,,30,31,0,1,25.7993
20260203115810.975,269.0973,,,30,31,0,1,25.7993
20260203115810.976,269.1084,,,30,31,0,1,25.7993
20260203115810.978,269.1195,,,30,31,0,1,25.7993
20260203115810.980,269.1306,,,30,31,0,1,25.7993
20260203115810.983,269.1417,,,30,31,0,1,25.7993
20260203115810.990,269.1528,,,30,31,0,1,25.7993
20260203115810.991,269.1639,,,30,31,0,1,25.7993
20260203115810.993,269.1750,,,30,31,0,1,25.7993
20260203115810.995,269.1861,,,30,31,0,1,25.7993
20260203115810.996,269.1972,,,30,31,0,1,25.7993
20260203115810.998,269.2083,,,30,31,0,1,25.7993
20260203115810.999,269.2194,,,30,31,0,1,25.7993
20260203115811.001,269.2305,,,30,31,0,1,25.7993
20260203115811.003,269.2416,,,30,31,0,1,25.7993
20260203115811.005,269.2527,,,30,31,0,1,25.7993
20260203115811.006,269.2638,,,30,31,0,1,25.7993
20260203115811.008,269.2749,,,30,31,0,1,25.7993
20260203115811.010,269.2860,,,30,31,0,1,25.7993
20260203115811.011,269.2971,,,30,31,0,1,25.7993
20260203115811.013,269.3082,,,30,31,0,1,25.7993
20260203115811.015,269.3193,,,30,31,0,1,25.7993
20260203115811.017,269.3304,,,30,31,0,1,25.7993
20260203115811.018,269.3415,,,30,31,0,1,25.7993
20260203115811.019,269.3526,,,30,31,0,1,25.7993
20260203115811.021,269.3637,,,30,31,0,1,25.7993
20260203115811.023,269.3748,,,30,31,0,1,25.7993
20260203115811.025,269.3859,,,30,31,0,1,25.7993
20260203115811.027,269.3970,,,30,31,0,1,25.7993
20260203115811.028,269.4081,,,30,31,0,1,25.7993
20260203115811.029,269.4192,,,30,31,0,1,25.7993
20260203115811.031,269.4303,,,30,31,0,1,25.7993
20260203115811.033,269.4414,,,30,31,0,1,25.7993
20260203115811.035,269.4525,,,30,31,0,1,25.7993
20260203115811.036,269.4636,,,30,31,0,1,25.7993
20260203115811.038,269.4747,,,30,31,0,1,25.7993
20260203115811.039,269.4858,,,30,31,0,1,25.7993
20260203115811.041,269.4969,,,30,31,0,1,25.7993
20260203115811.043,269.5080,,,30,31,0,1,25.7993
20260203115811.044,269.5191,,,30,31,0,1,25.7993
20260203115811.046,269.5302,,,30,31,0,1,25.7993
20260203115811.048,269.5413,,,30,31,0,1,25.7993
20260203115811.050,269.5524,,,30,31,0,1,25.7993
20260203115811.051,269.5635,,,30,31,0,1,25.7993
20260203115811.053,269.5746,,,30,31,0,1,25.7993
20260203115811.054,269.5857,,,30,31,0,1,25.7993
20260203115811.060,269.5968,,,30,31,0,1,25.7993
20260203115811.061,269.6079,,,30,31,0,1,25.7993
20260203115811.064,269.6190,,,30,31,0,1,25.7993
20260203115811.082,269.6301,,,30,31,0,1,25.7993
20260203115811.087,269.6412,,,30,31,0,1,25.7993
20260203115811.091,269.6523,,,30,31,0,1,25.7993
20260203115811.095,269.6634,,,30,31,0,1,25.7993
20260203115811.100,269.6745,,,30,31,0,1,25.7993
20260203115811.104,269.6856,,,30,31,0,1,25.7993
20260203115811.107,269.6967,,,30,31,0,1,25.7993
20260203115811.113,269.7078,,,30,31,0,1,25.7993
20260203115811.114,269.7189,,,30,31,0,1,25.7993
20260203115811.116,269.7300,,,30,31,0,1,25.7993
20260203115811.121,269.7411,,,30,31,0,1,25.7993
20260203115811.123,269.7522,,,30,31,0,1,25.7993
20260203115811.125,269.7633,,,30,31,0,1,25.7993
20260203115811.127,269.7744,,,30,31,0,1,25.7993
20260203115811.129,269.7855,,,30,31,0,1,25.7993
20260203115811.131,269.7966,,,30,31,0,1,25.7993
20260203115811.132,269.8077,,,30,31,0,1,25.7993
