frame,time,userId,cellBoundaryRisk,physicalBoundaryRisk,userRisk,seedMotionPenalty,cellShapePenaltyReserved,smoothRisk,weightedTotalRisk,dominantRisk,minCellClearance,minPhysicalClearance,minPairSeparation,minOccupancySeparation,seedDelta,frameMeanCellRisk,frameMeanPhysicalRisk,frameMeanUserRisk,frameMeanSmoothRisk,frameWeightedTotalRisk
200,2.220006,0,0.000000,0.000000,0.000000,0.044362,0.000000,0.044362,0.008872,None,2.904042,6.285946,7.980153,7.980153,0.011090,0.250000,0.250000,0.000000,0.033508,0.106702
200,2.220006,1,0.000000,0.000000,0.000000,0.000811,0.000000,0.000811,0.000162,None,0.936296,0.936296,8.586173,8.586173,0.000203,0.250000,0.250000,0.000000,0.033508,0.106702
200,2.220006,2,1.000000,1.000000,0.000000,0.044447,0.000000,0.044447,0.408889,Wall,-0.401914,-0.401914,7.980153,7.980153,0.011112,0.250000,0.250000,0.000000,0.033508,0.106702
200,2.220006,3,0.000000,0.000000,0.000000,0.044413,0.000000,0.044413,0.008883,None,1.304839,1.304839,9.848808,9.848808,0.011103,0.250000,0.250000,0.000000,0.033508,0.106702
210,2.331006,0,0.000000,0.000000,0.000000,0.013678,0.000000,0.013678,0.002736,None,2.934311,6.285946,8.066038,8.066038,0.003419,0.250000,0.250000,0.000000,0.028020,0.105604
210,2.331006,1,0.000000,0.000000,0.000000,0.009538,0.000000,0.009538,0.001908,None,0.922468,0.922468,8.609151,8.609151,0.002384,0.250000,0.250000,0.000000,0.028020,0.105604
210,2.331006,2,1.000000,1.000000,0.000000,0.044447,0.000000,0.044447,0.408889,Wall,-0.382346,-0.382346,8.066038,8.066038,0.011112,0.250000,0.250000,0.000000,0.028020,0.105604
210,2.331006,3,0.000000,0.000000,0.000000,0.044416,0.000000,0.044416,0.008883,None,1.323630,1.323630,9.853519,9.853519,0.011104,0.250000,0.250000,0.000000,0.028020,0.105604
220,2.442007,0,0.000000,0.000000,0.000000,0.004218,0.000000,0.004218,0.000844,None,2.974344,6.285946,8.150502,8.150502,0.001054,0.250000,0.250000,0.000000,0.031670,0.106334
220,2.442007,1,0.000000,0.000000,0.000000,0.033599,0.000000,0.033599,0.006720,None,0.881801,0.881801,8.723188,8.723188,0.008400,0.250000,0.250000,0.000000,0.031670,0.106334
220,2.442007,2,1.000000,1.000000,0.000000,0.044447,0.000000,0.044447,0.408889,Wall,-0.359336,-0.359336,8.150502,8.150502,0.011112,0.250000,0.250000,0.000000,0.031670,0.106334
220,2.442007,3,0.000000,0.000000,0.000000,0.044416,0.000000,0.044416,0.008883,None,1.345274,1.345274,9.856611,9.856611,0.011104,0.250000,0.250000,0.000000,0.031670,0.106334
230,2.553007,0,0.000000,0.000000,0.000000,0.001300,0.000000,0.001300,0.000260,None,3.024955,6.285946,8.233488,8.233488,0.000325,0.250000,0.250000,0.000000,0.032795,0.106559
230,2.553007,1,0.000000,0.000000,0.000000,0.041024,0.000000,0.041024,0.008205,None,0.824906,0.824906,8.833748,8.833748,0.010256,0.250000,0.250000,0.000000,0.032795,0.106559
230,2.553007,2,1.000000,1.000000,0.000000,0.044444,0.000000,0.044444,0.408889,Wall,-0.332997,-0.332997,8.233488,8.233488,0.011111,0.250000,0.250000,0.000000,0.032795,0.106559
230,2.553007,3,0.000000,0.000000,0.000000,0.044411,0.000000,0.044411,0.008882,None,1.369965,1.369965,9.857868,9.857868,0.011103,0.250000,0.250000,0.000000,0.032795,0.106559
240,2.664008,0,0.000000,0.000000,0.000000,0.031097,0.000000,0.031097,0.006219,None,3.083263,6.397820,8.407686,8.407686,0.007774,0.250000,0.250000,0.000000,0.040815,0.108163
240,2.664008,1,0.000000,0.000000,0.000000,0.043306,0.000000,0.043306,0.008661,None,0.752846,0.752846,8.938877,8.938877,0.010827,0.250000,0.250000,0.000000,0.040815,0.108163
240,2.664008,2,1.000000,1.000000,0.000000,0.044446,0.000000,0.044446,0.408889,Wall,-0.303253,-0.303253,8.407686,8.407686,0.011112,0.250000,0.250000,0.000000,0.040815,0.108163
240,2.664008,3,0.000000,0.000000,0.000000,0.044410,0.000000,0.044410,0.008882,None,1.397561,1.397561,9.711084,9.711084,0.011102,0.250000,0.250000,0.000000,0.040815,0.108163
